interval,day,week,classifier,score
31,Wednesday,23,Adventure_Sport,0.863865
23,Saturday,23,Adventure_Sport,0.893353
35,Sunday,25,Adventure_Sport,0.852034
34,Thursday,24,Adventure_Sport,0.88906
29,Sunday,24,Adventure_Sport,0.878676
32,Friday,24,Adventure_Sport,0.836073
29,Sunday,24,Adventure_Sport,0.876862
78,Thursday,24,Adventure_Sport,0.842447
30,Sunday,24,Adventure_Sport,0.893602
91,Sunday,25,Adventure_Sport,0.820123
80,Friday,23,Adventure_Sport,0.830813
28,Sunday,25,Adventure_Sport,0.818427
77,Saturday,24,Adventure_Sport,0.869321
89,Saturday,24,Adventure_Sport,0.856482
24,Monday,25,Adventure_Sport,0.888477
23,Saturday,23,Adventure_Sport,0.895402
74,Monday,25,Adventure_Sport,0.879433
25,Sunday,24,Adventure_Sport,0.850462
36,Sunday,24,Adventure_Sport,0.872514
81,Sunday,24,Adventure_Sport,0.885622
53,Sunday,24,Adventure_Sport,0.77237
25,Monday,24,Adventure_Sport,0.856804
29,Monday,24,Adventure_Sport,0.868254
30,Monday,24,Adventure_Sport,0.875472
32,Monday,24,Adventure_Sport,0.883859
81,Monday,24,Adventure_Sport,0.854411
24,Tuesday,24,Adventure_Sport,0.873935
25,Tuesday,24,Adventure_Sport,0.821297
23,Friday,24,Adventure_Sport,0.897551
72,Tuesday,24,Adventure_Sport,0.864498
74,Friday,24,Adventure_Sport,0.832221
23,Saturday,24,Adventure_Sport,0.894935
77,Saturday,24,Adventure_Sport,0.838758
28,Sunday,25,Adventure_Sport,0.80266
79,Friday,24,Adventure_Sport,0.875269
23,Friday,24,Adventure_Sport,0.856556
31,Saturday,24,Adventure_Sport,0.852601
24,Monday,25,Adventure_Sport,0.883138
78,Saturday,24,Adventure_Sport,0.879451
79,Saturday,24,Adventure_Sport,0.891791
74,Monday,25,Adventure_Sport,0.867046
24,Wednesday,21,Adventure_Sport,0.858539
24,Thursday,21,Adventure_Sport,0.840702
24,Thursday,21,Adventure_Sport,0.872817
28,Friday,21,Adventure_Sport,0.835057
36,Friday,21,Adventure_Sport,0.856592
50,Friday,21,Adventure_Sport,0.807337
27,Saturday,21,Adventure_Sport,0.736636
27,Saturday,21,Adventure_Sport,0.754698
51,Friday,21,Adventure_Sport,0.763589
53,Friday,21,Adventure_Sport,0.828412
25,Monday,22,Adventure_Sport,0.719737
31,Tuesday,22,Adventure_Sport,0.890961
23,Wednesday,22,Adventure_Sport,0.858111
73,Wednesday,22,Adventure_Sport,0.823569
81,Wednesday,22,Adventure_Sport,0.837344
81,Wednesday,22,Adventure_Sport,0.816867
79,Wednesday,22,Adventure_Sport,0.845181
81,Wednesday,22,Adventure_Sport,0.818016
80,Thursday,23,Adventure_Sport,0.860704
79,Wednesday,22,Adventure_Sport,0.866138
81,Wednesday,22,Adventure_Sport,0.840429
80,Friday,23,Adventure_Sport,0.883839
83,Friday,23,Adventure_Sport,0.675191
84,Friday,23,Adventure_Sport,0.715272
30,Saturday,23,Adventure_Sport,0.8794
81,Wednesday,22,Adventure_Sport,0.802907
23,Wednesday,22,Adventure_Sport,0.864016
29,Sunday,24,Adventure_Sport,0.868933
30,Thursday,22,Adventure_Sport,0.777228
30,Sunday,24,Adventure_Sport,0.883195
30,Sunday,24,Adventure_Sport,0.887817
82,Thursday,22,Adventure_Sport,0.795186
32,Monday,24,Adventure_Sport,0.832988
33,Monday,24,Adventure_Sport,0.823339
30,Sunday,24,Adventure_Sport,0.875545
85,Friday,23,Adventure_Sport,0.68948
24,Tuesday,22,Adventure_Sport,0.795511
32,Tuesday,24,Adventure_Sport,0.851982
24,Sunday,24,Adventure_Sport,0.852614
32,Monday,24,Adventure_Sport,0.876023
36,Monday,24,Adventure_Sport,0.883947
80,Wednesday,22,Adventure_Sport,0.804363
81,Wednesday,22,Adventure_Sport,0.838989
33,Tuesday,24,Adventure_Sport,0.856178
31,Wednesday,22,Adventure_Sport,0.870103
24,Tuesday,24,Adventure_Sport,0.823278
32,Tuesday,24,Adventure_Sport,0.882313
81,Wednesday,22,Adventure_Sport,0.812339
80,Wednesday,22,Adventure_Sport,0.82568
80,Friday,23,Adventure_Sport,0.84113
81,Wednesday,22,Adventure_Sport,0.865624
84,Friday,23,Adventure_Sport,0.671367
32,Thursday,24,Adventure_Sport,0.825049
35,Sunday,25,Adventure_Sport,0.881046
8,Saturday,24,Adventure_Sport,0.818416
47,Friday,22,Adventure_Sport,0.852914
30,Sunday,24,Adventure_Sport,0.883048
47,Saturday,24,Adventure_Sport,0.811081
79,Sunday,25,Adventure_Sport,0.869307
24,Monday,25,Adventure_Sport,0.877714
83,Friday,23,Adventure_Sport,0.660997
32,Wednesday,23,Adventure_Sport,0.875906
23,Saturday,24,Adventure_Sport,0.835767
35,Friday,23,Adventure_Sport,0.894726
32,Sunday,25,Adventure_Sport,0.851802
74,Monday,25,Adventure_Sport,0.861235
34,Monday,24,Adventure_Sport,0.891899
23,Sunday,24,Adventure_Sport,0.827038
25,Wednesday,24,Adventure_Sport,0.830976
88,Sunday,24,Adventure_Sport,0.869034
32,Monday,24,Adventure_Sport,0.851779
75,Tuesday,24,Adventure_Sport,0.878662
30,Wednesday,24,Adventure_Sport,0.859193
31,Wednesday,24,Adventure_Sport,0.82446
79,Saturday,24,Adventure_Sport,0.872126
29,Monday,25,Adventure_Sport,0.888792
31,Sunday,25,Adventure_Sport,0.837317
29,Monday,25,Adventure_Sport,0.89284
74,Monday,25,Adventure_Sport,0.857156
23,Friday,24,Adventure_Sport,0.846122
74,Monday,25,Adventure_Sport,0.871535
27,Friday,24,Adventure_Sport,0.852595
25,Monday,25,Adventure_Sport,0.744842
76,Saturday,24,Adventure_Sport,0.838419
30,Sunday,25,Adventure_Sport,0.856522
35,Sunday,25,Adventure_Sport,0.847935
80,Monday,25,Adventure_Sport,0.849783
23,Wednesday,21,Adventure_Sport,0.885823
51,Thursday,21,Adventure_Sport,0.851439
28,Friday,21,Adventure_Sport,0.799861
36,Friday,21,Adventure_Sport,0.828071
41,Friday,21,Adventure_Sport,0.764717
45,Friday,21,Adventure_Sport,0.818648
37,Friday,21,Adventure_Sport,0.76394
86,Friday,21,Adventure_Sport,0.810605
22,Saturday,21,Adventure_Sport,0.785215
38,Friday,21,Adventure_Sport,0.806574
39,Friday,21,Adventure_Sport,0.824732
55,Friday,21,Adventure_Sport,0.841751
70,Friday,21,Adventure_Sport,0.799653
45,Friday,21,Adventure_Sport,0.816411
46,Friday,21,Adventure_Sport,0.823721
45,Friday,21,Adventure_Sport,0.800673
27,Saturday,21,Adventure_Sport,0.728036
27,Saturday,21,Adventure_Sport,0.818413
29,Saturday,21,Adventure_Sport,0.837402
35,Sunday,22,Adventure_Sport,0.838242
34,Sunday,22,Adventure_Sport,0.792833
23,Wednesday,22,Adventure_Sport,0.870791
28,Wednesday,22,Adventure_Sport,0.827487
55,Wednesday,22,Adventure_Sport,0.851
81,Wednesday,22,Adventure_Sport,0.866657
48,Friday,22,Adventure_Sport,0.811054
32,Thursday,22,Adventure_Sport,0.846874
79,Wednesday,22,Adventure_Sport,0.813195
32,Thursday,22,Adventure_Sport,0.821039
93,Thursday,22,Adventure_Sport,0.786607
29,Sunday,24,Adventure_Sport,0.863287
30,Sunday,24,Adventure_Sport,0.874182
79,Thursday,22,Adventure_Sport,0.880331
80,Friday,23,Adventure_Sport,0.829544
39,Saturday,23,Adventure_Sport,0.881114
26,Sunday,24,Adventure_Sport,0.845412
36,Monday,24,Adventure_Sport,0.897224
31,Sunday,24,Adventure_Sport,0.874547
29,Sunday,24,Adventure_Sport,0.877847
74,Thursday,23,Adventure_Sport,0.839191
76,Thursday,23,Adventure_Sport,0.83232
31,Sunday,24,Adventure_Sport,0.854303
86,Monday,24,Adventure_Sport,0.670692
65,Sunday,24,Adventure_Sport,0.880122
43,Saturday,23,Adventure_Sport,0.880167
35,Monday,24,Adventure_Sport,0.895037
34,Sunday,24,Adventure_Sport,0.866273
84,Sunday,24,Adventure_Sport,0.803484
33,Tuesday,24,Adventure_Sport,0.802562
32,Thursday,24,Adventure_Sport,0.855102
72,Tuesday,24,Adventure_Sport,0.855834
78,Tuesday,24,Adventure_Sport,0.82748
25,Wednesday,24,Adventure_Sport,0.760991
23,Wednesday,22,Adventure_Sport,0.867134
88,Monday,24,Adventure_Sport,0.737646
30,Wednesday,24,Adventure_Sport,0.893544
32,Friday,24,Adventure_Sport,0.751304
81,Wednesday,22,Adventure_Sport,0.818472
30,Friday,22,Adventure_Sport,0.845358
76,Wednesday,24,Adventure_Sport,0.810471
39,Wednesday,24,Adventure_Sport,0.835773
28,Thursday,22,Adventure_Sport,0.750605
70,Wednesday,22,Adventure_Sport,0.798228
34,Thursday,24,Adventure_Sport,0.771078
32,Thursday,24,Adventure_Sport,0.875309
32,Thursday,24,Adventure_Sport,0.807494
28,Sunday,25,Adventure_Sport,0.839747
79,Wednesday,22,Adventure_Sport,0.856369
29,Sunday,25,Adventure_Sport,0.797462
25,Friday,24,Adventure_Sport,0.798384
30,Saturday,23,Adventure_Sport,0.874246
31,Sunday,25,Adventure_Sport,0.848525
29,Friday,24,Adventure_Sport,0.754508
32,Friday,24,Adventure_Sport,0.846002
29,Thursday,22,Adventure_Sport,0.831624
29,Sunday,24,Adventure_Sport,0.854563
30,Sunday,24,Adventure_Sport,0.851674
28,Friday,22,Adventure_Sport,0.782658
30,Sunday,24,Adventure_Sport,0.882915
23,Friday,24,Adventure_Sport,0.892073
33,Sunday,24,Adventure_Sport,0.833326
26,Monday,24,Adventure_Sport,0.866792
29,Monday,25,Adventure_Sport,0.871672
30,Monday,24,Adventure_Sport,0.82804
30,Monday,24,Adventure_Sport,0.857557
36,Sunday,25,Adventure_Sport,0.87287
84,Friday,23,Adventure_Sport,0.680875
36,Sunday,25,Adventure_Sport,0.881519
24,Saturday,24,Adventure_Sport,0.811579
72,Saturday,24,Adventure_Sport,0.853072
30,Sunday,25,Adventure_Sport,0.844095
50,Saturday,24,Adventure_Sport,0.820558
36,Sunday,25,Adventure_Sport,0.879329
68,Saturday,24,Adventure_Sport,0.833076
74,Saturday,24,Adventure_Sport,0.867365
91,Sunday,25,Adventure_Sport,0.825302
37,Sunday,25,Adventure_Sport,0.847744
80,Monday,25,Adventure_Sport,0.862927
50,Sunday,25,Adventure_Sport,0.829373
31,Saturday,23,Adventure_Sport,0.838045
73,Monday,25,Adventure_Sport,0.83428
39,Saturday,23,Adventure_Sport,0.840897
40,Saturday,23,Adventure_Sport,0.881539
40,Saturday,23,Adventure_Sport,0.873051
87,Monday,24,Adventure_Sport,0.735673
29,Sunday,24,Adventure_Sport,0.875926
25,Tuesday,24,Adventure_Sport,0.830565
86,Monday,24,Adventure_Sport,0.806189
31,Sunday,24,Adventure_Sport,0.829804
33,Tuesday,24,Adventure_Sport,0.81836
33,Tuesday,24,Adventure_Sport,0.789198
33,Tuesday,24,Adventure_Sport,0.804469
28,Monday,24,Adventure_Sport,0.792715
30,Monday,24,Adventure_Sport,0.826384
36,Monday,24,Adventure_Sport,0.86686
31,Monday,24,Adventure_Sport,0.848548
35,Thursday,24,Adventure_Sport,0.898482
25,Thursday,24,Adventure_Sport,0.795388
24,Tuesday,24,Adventure_Sport,0.854799
76,Thursday,24,Adventure_Sport,0.830499
78,Tuesday,24,Adventure_Sport,0.829364
79,Friday,24,Adventure_Sport,0.889655
30,Thursday,24,Adventure_Sport,0.842823
35,Sunday,25,Adventure_Sport,0.834823
