classifier,score,id,doc/year,doc/month,doc/day,doc/hour,doc/minute,doc/second
Adventure_Sport,0.820398,20160525071529-04-01,2016,05,25,07,15,29
Adventure_Sport,0.874904,20160526195336-224-00,2016,05,26,19,53,36
Adventure_Sport,0.83603,20160526220227-240-01,2016,05,26,22,02,27
Adventure_Sport,0.801509,20160529195119-755-01,2016,05,29,19,51,19
Adventure_Sport,0.879382,20160531060039-940-00,2016,05,31,06,00,39
Adventure_Sport,0.863159,20160601055859-1024-00,2016,06,01,05,58,59
Adventure_Sport,0.864172,20160602224052-77-01,2016,06,02,22,40,52
Adventure_Sport,0.835375,20160601193345-56-00,2016,06,01,19,33,45
Adventure_Sport,0.838413,20160610201550-219-00,2016,06,10,20,15,50
Adventure_Sport,0.866426,20160610201836-220-01,2016,06,10,20,18,36
Adventure_Sport,0.88707,20160609201232-205-01,2016,06,09,20,12,32
Adventure_Sport,0.79566,20160610212214-239-00,2016,06,10,21,22,14
Adventure_Sport,0.894227,20160602223723-75-01,2016,06,02,22,37,23
Adventure_Sport,0.885667,20160612072456-367-00,2016,06,12,07,24,56
Adventure_Sport,0.838688,20160610201458-218-00,2016,06,10,20,14,58
Adventure_Sport,0.880628,20160613064502-511-00,2016,06,13,06,45,02
Adventure_Sport,0.825574,20160530215025-933-01,2016,05,30,21,50,25
Adventure_Sport,0.88328,20160613195601-664-00,2016,06,13,19,56,01
Adventure_Sport,0.862051,20160613213438-667-01,2016,06,13,21,34,38
Adventure_Sport,0.851124,20160601195157-77-00,2016,06,01,19,51,57
Adventure_Sport,0.868217,20160601195246-78-00,2016,06,01,19,52,46
Adventure_Sport,0.889754,20160616201624-1085-01,2016,06,16,20,16,24
Adventure_Sport,0.87216,20160618072852-1256-00,2016,06,18,07,28,52
Adventure_Sport,0.892585,20160618074341-1260-01,2016,06,18,07,43,41
Adventure_Sport,0.874773,20160616091927-1012-01,2016,06,16,09,19,27
Adventure_Sport,0.877046,20160601201652-98-00,2016,06,01,20,16,52
Adventure_Sport,0.76114,20160610205021-224-01,2016,06,10,20,50,21
Adventure_Sport,0.905592,20160618193347-1339-01,2016,06,18,19,33,47
Adventure_Sport,0.896861,20160611055748-271-01,2016,06,11,05,57,48
Adventure_Sport,0.881471,20160617223745-1243-01,2016,06,17,22,37,45
Adventure_Sport,0.900865,20160618060052-1248-00,2016,06,18,06,00,52
Adventure_Sport,0.878643,20160618194120-1341-00,2016,06,18,19,41,20
