interval,day,week,classifier,score
93,Monday,14,person,0.28905
72,Monday,14,person,0.377541
57,Monday,14,person,0.996316
89,Monday,14,person,0.377541
87,Monday,14,person,0.475021
29,Tuesday,14,person,0.924142
61,Monday,14,person,0.998499
30,Tuesday,14,person,0.401312
73,Monday,14,person,0.947846
90,Monday,14,person,0.377541
84,Monday,14,person,0.377541
73,Monday,14,person,0.983697
87,Monday,14,person,0.991837
88,Monday,14,person,0.956893
65,Monday,14,person,0.598688
33,Tuesday,14,person,0.98016
88,Monday,14,person,0.858149
74,Monday,14,person,0.524979
30,Tuesday,14,person,0.997975
33,Tuesday,14,person,0.475021
89,Monday,14,person,0.354344
32,Tuesday,14,person,0.75026
65,Monday,14,person,0.475021
33,Tuesday,14,person,0.574443
33,Tuesday,14,person,0.98016
90,Monday,14,person,0.967705
88,Monday,14,person,0.524979
90,Monday,14,person,0.354344
66,Monday,14,person,0.331812
28,Tuesday,14,person,0.268941
29,Tuesday,14,person,0.549834
25,Tuesday,14,person,0.331812
35,Tuesday,14,person,0.598688
90,Monday,14,person,0.524979
29,Tuesday,14,person,0.99394
29,Tuesday,14,person,0.354344
32,Tuesday,14,person,0.785835
36,Tuesday,14,person,0.98016
30,Tuesday,14,person,0.845535
90,Monday,14,person,0.331812
67,Monday,14,person,0.998993
38,Tuesday,14,person,0.993307
33,Tuesday,14,person,0.268941
90,Monday,14,person,0.310026
41,Tuesday,14,person,0.956893
35,Tuesday,14,person,0.450166
89,Monday,14,person,0.998771
90,Monday,14,person,0.310026
28,Tuesday,14,person,0.689974
89,Monday,14,person,0.401312
90,Monday,14,person,0.598688
44,Tuesday,14,person,0.817574
91,Monday,14,person,0.310026
33,Tuesday,14,person,0.710949
44,Tuesday,14,person,0.845535
77,Monday,14,person,0.331812
33,Tuesday,14,person,0.817574
45,Tuesday,14,person,0.622459
90,Monday,14,person,0.401312
33,Tuesday,14,person,0.574443
90,Monday,14,person,0.401312
34,Tuesday,14,person,0.802184
50,Tuesday,14,person,0.983697
28,Tuesday,14,person,0.450166
36,Tuesday,14,person,0.524979
50,Tuesday,14,person,0.710949
90,Monday,14,person,0.817574
36,Tuesday,14,person,0.975873
33,Tuesday,14,person,0.768525
50,Tuesday,14,person,0.425557
38,Tuesday,14,person,0.845535
91,Monday,14,person,0.377541
50,Tuesday,14,person,0.731059
50,Tuesday,14,person,0.785835
36,Tuesday,14,person,0.5
51,Tuesday,14,person,0.998887
36,Tuesday,14,person,0.985226
70,Tuesday,14,person,0.668188
73,Tuesday,14,person,0.689974
44,Tuesday,14,person,0.731059
33,Tuesday,14,person,0.574443
70,Tuesday,14,person,0.880797
50,Tuesday,14,person,0.450166
33,Tuesday,14,person,0.880797
50,Tuesday,14,person,0.998167
50,Tuesday,14,person,0.689974
88,Monday,14,person,0.354344
72,Tuesday,14,person,0.973403
50,Tuesday,14,person,0.768525
50,Tuesday,14,person,0.731059
35,Tuesday,14,person,0.310026
