interval,day,week,classifier,score
67,Monday,14,person,0.998993
90,Monday,14,person,0.354344
90,Monday,14,person,0.401312
27,Tuesday,14,person,0.990987
90,Monday,14,person,0.401312
35,Tuesday,14,person,0.598688
36,Tuesday,14,person,0.98016
33,Tuesday,14,person,0.710949
84,Monday,14,person,0.377541
25,Tuesday,14,person,0.331812
33,Tuesday,14,person,0.574443
90,Monday,14,person,0.817574
29,Tuesday,14,person,0.99394
77,Monday,14,person,0.331812
36,Tuesday,14,person,0.524979
89,Monday,14,person,0.377541
29,Tuesday,14,person,0.924142
90,Monday,14,person,0.377541
30,Tuesday,14,person,0.401312
36,Tuesday,14,person,0.975873
91,Monday,14,person,0.377541
32,Tuesday,14,person,0.785835
36,Tuesday,14,person,0.5
38,Tuesday,14,person,0.993307
33,Tuesday,14,person,0.98016
33,Tuesday,14,person,0.268941
41,Tuesday,14,person,0.956893
35,Tuesday,14,person,0.450166
33,Tuesday,14,person,0.475021
88,Monday,14,person,0.524979
33,Tuesday,14,person,0.574443
28,Tuesday,14,person,0.268941
33,Tuesday,14,person,0.574443
90,Monday,14,person,0.524979
33,Tuesday,14,person,0.880797
50,Tuesday,14,person,0.983697
35,Tuesday,14,person,0.310026
29,Tuesday,14,person,0.549834
50,Tuesday,14,person,0.425557
90,Monday,14,person,0.331812
29,Tuesday,14,person,0.354344
50,Tuesday,14,person,0.785835
90,Monday,14,person,0.310026
90,Monday,14,person,0.310026
88,Monday,14,person,0.354344
30,Tuesday,14,person,0.845535
90,Monday,14,person,0.574443
90,Monday,14,person,0.598688
50,Tuesday,14,person,0.668188
95,Monday,14,person,0.858149
91,Monday,14,person,0.310026
44,Tuesday,14,person,0.817574
50,Tuesday,14,person,0.908877
57,Tuesday,14,person,0.998341
44,Tuesday,14,person,0.845535
33,Tuesday,14,person,0.817574
70,Tuesday,14,person,0.668188
45,Tuesday,14,person,0.622459
28,Tuesday,14,person,0.450166
73,Tuesday,14,person,0.689974
34,Tuesday,14,person,0.802184
50,Tuesday,14,person,0.768525
33,Tuesday,14,person,0.768525
74,Tuesday,14,person,0.98016
75,Tuesday,14,person,0.989013
57,Tuesday,14,person,0.998771
76,Tuesday,14,person,0.668188
38,Tuesday,14,person,0.845535
50,Tuesday,14,person,0.710949
36,Tuesday,14,person,0.985226
50,Tuesday,14,person,0.731059
76,Tuesday,14,person,0.524979
71,Tuesday,14,person,0.331812
78,Tuesday,14,person,0.450166
29,Tuesday,14,person,0.916827
71,Tuesday,14,person,0.268941
51,Tuesday,14,person,0.998887
78,Tuesday,14,person,0.900249
29,Tuesday,14,person,0.817574
44,Tuesday,14,person,0.731059
68,Tuesday,14,person,0.997762
73,Tuesday,14,person,0.986613
30,Tuesday,14,person,0.450166
44,Tuesday,14,person,0.622459
50,Tuesday,14,person,0.450166
70,Tuesday,14,person,0.880797
69,Tuesday,14,person,0.997268
50,Tuesday,14,person,0.75026
50,Tuesday,14,person,0.689974
79,Tuesday,14,person,0.973403
50,Tuesday,14,person,0.998167
73,Tuesday,14,person,0.574443
73,Tuesday,14,person,0.574443
32,Tuesday,14,person,0.310026
72,Tuesday,14,person,0.973403
76,Tuesday,14,person,0.817574
33,Tuesday,14,person,0.858149
50,Tuesday,14,person,0.731059
74,Tuesday,14,person,0.832018
86,Tuesday,14,person,0.5
75,Tuesday,14,person,0.817574
50,Tuesday,14,person,0.802184
74,Tuesday,14,person,0.802184
76,Tuesday,14,person,0.524979
34,Tuesday,14,person,0.598688
50,Tuesday,14,person,0.908877
76,Tuesday,14,person,0.908877
75,Tuesday,14,person,0.947846
76,Tuesday,14,person,0.937027
76,Tuesday,14,person,0.645656
70,Tuesday,14,person,0.668188
77,Tuesday,14,person,0.549834
71,Tuesday,14,person,0.964429
71,Tuesday,14,person,0.802184
24,Wednesday,14,person,0.268941
80,Tuesday,14,person,0.598688
37,Tuesday,14,person,0.99593
72,Tuesday,14,person,0.549834
80,Tuesday,14,person,0.377541
78,Tuesday,14,person,0.908877
70,Tuesday,14,person,0.622459
73,Tuesday,14,person,0.598688
73,Tuesday,14,person,0.908877
81,Tuesday,14,person,0.998499
83,Tuesday,14,person,0.354344
74,Tuesday,14,person,0.960834
73,Tuesday,14,person,0.998771
74,Tuesday,14,person,0.937027
78,Tuesday,14,person,0.574443
74,Tuesday,14,person,0.916827
78,Tuesday,14,person,0.832018
86,Tuesday,14,person,0.689974
79,Tuesday,14,person,0.331812
75,Tuesday,14,person,0.964429
76,Tuesday,14,person,0.710949
87,Tuesday,14,person,0.916827
77,Tuesday,14,person,0.956893
28,Wednesday,14,person,0.331812
76,Tuesday,14,person,0.425557
79,Tuesday,14,person,0.549834
76,Tuesday,14,person,0.598688
77,Tuesday,14,person,0.574443
76,Tuesday,14,person,0.645656
78,Tuesday,14,person,0.731059
33,Wednesday,14,person,0.75026
36,Wednesday,14,person,0.9995
77,Tuesday,14,person,0.998641
79,Tuesday,14,person,0.5
79,Tuesday,14,person,0.524979
37,Wednesday,14,person,0.310026
85,Tuesday,14,person,0.908877
77,Tuesday,14,person,0.768525
86,Tuesday,14,person,0.425557
28,Wednesday,14,person,0.75026
38,Wednesday,14,person,0.997527
80,Tuesday,14,person,0.310026
28,Wednesday,14,person,0.598688
79,Tuesday,14,person,0.28905
28,Wednesday,14,person,0.425557
89,Tuesday,14,person,0.858149
28,Wednesday,14,person,0.869892
29,Wednesday,14,person,0.268941
88,Tuesday,14,person,0.802184
80,Tuesday,14,person,0.450166
29,Wednesday,14,person,0.622459
81,Tuesday,14,person,0.331812
28,Wednesday,14,person,0.845535
27,Wednesday,14,person,0.425557
30,Wednesday,14,person,0.689974
29,Wednesday,14,person,0.99593
50,Tuesday,14,person,0.768525
86,Tuesday,14,person,0.354344
29,Wednesday,14,person,0.28905
28,Wednesday,14,person,0.924142
27,Wednesday,14,person,0.989013
28,Wednesday,14,person,0.924142
28,Wednesday,14,person,0.710949
28,Wednesday,14,person,0.310026
56,Wednesday,14,person,0.785835
86,Tuesday,14,person,0.377541
28,Wednesday,14,person,0.354344
57,Wednesday,14,person,0.268941
34,Wednesday,14,person,0.268941
28,Wednesday,14,person,0.28905
27,Wednesday,14,person,0.998993
35,Wednesday,14,person,0.598688
27,Wednesday,14,person,0.930862
57,Wednesday,14,person,0.908877
63,Wednesday,14,person,0.331812
27,Wednesday,14,person,0.450166
29,Wednesday,14,person,0.598688
35,Wednesday,14,person,0.549834
31,Wednesday,14,person,0.331812
75,Tuesday,14,person,0.645656
31,Wednesday,14,person,0.524979
65,Wednesday,14,person,0.869892
31,Wednesday,14,person,0.549834
31,Wednesday,14,person,0.377541
34,Wednesday,14,person,0.331812
65,Wednesday,14,person,0.331812
76,Tuesday,14,person,0.768525
36,Wednesday,14,person,0.832018
90,Tuesday,14,person,0.450166
78,Tuesday,14,person,0.768525
68,Wednesday,14,person,0.802184
36,Wednesday,14,person,0.28905
79,Tuesday,14,person,0.549834
68,Wednesday,14,person,0.991837
36,Wednesday,14,person,0.880797
36,Wednesday,14,person,0.622459
27,Wednesday,14,person,0.998771
37,Wednesday,14,person,0.908877
37,Wednesday,14,person,0.598688
28,Wednesday,14,person,0.985226
34,Wednesday,14,person,0.377541
29,Wednesday,14,person,0.401312
37,Wednesday,14,person,0.549834
37,Wednesday,14,person,0.645656
37,Wednesday,14,person,0.970688
69,Wednesday,14,person,0.710949
35,Wednesday,14,person,0.475021
35,Wednesday,14,person,0.310026
38,Wednesday,14,person,0.956893
36,Wednesday,14,person,0.832018
37,Wednesday,14,person,0.710949
29,Wednesday,14,person,0.996982
37,Wednesday,14,person,0.802184
86,Tuesday,14,person,0.268941
37,Wednesday,14,person,0.731059
69,Wednesday,14,person,0.598688
35,Wednesday,14,person,0.450166
37,Wednesday,14,person,0.377541
37,Wednesday,14,person,0.924142
37,Wednesday,14,person,0.916827
30,Wednesday,14,person,0.475021
37,Wednesday,14,person,0.689974
30,Wednesday,14,person,0.331812
75,Wednesday,14,person,0.310026
36,Wednesday,14,person,0.978119
37,Wednesday,14,person,0.622459
30,Wednesday,14,person,0.598688
27,Wednesday,14,person,0.999176
38,Wednesday,14,person,0.425557
28,Wednesday,14,person,0.768525
41,Wednesday,14,person,0.268941
76,Wednesday,14,person,0.524979
28,Wednesday,14,person,0.524979
29,Wednesday,14,person,0.331812
37,Wednesday,14,person,0.960834
78,Wednesday,14,person,0.598688
41,Wednesday,14,person,0.425557
39,Wednesday,14,person,0.354344
39,Wednesday,14,person,0.450166
30,Wednesday,14,person,0.5
56,Wednesday,14,person,0.5
30,Wednesday,14,person,0.354344
57,Wednesday,14,person,0.645656
64,Wednesday,14,person,0.549834
62,Wednesday,14,person,0.999389
57,Wednesday,14,person,0.354344
53,Wednesday,14,person,0.28905
64,Wednesday,14,person,0.401312
32,Wednesday,14,person,0.268941
53,Wednesday,14,person,0.268941
64,Wednesday,14,person,0.450166
65,Wednesday,14,person,0.574443
64,Wednesday,14,person,0.845535
65,Wednesday,14,person,0.960834
32,Wednesday,14,person,0.268941
65,Wednesday,14,person,0.967705
64,Wednesday,14,person,0.28905
65,Wednesday,14,person,0.970688
67,Wednesday,14,person,0.574443
65,Wednesday,14,person,0.450166
