ampm,day,id
PM,Sunday,20160403121140-161-01
PM,Sunday,20160403121156-162-00
PM,Sunday,20160403121750-163-01
PM,Sunday,20160403122046-164-01
PM,Sunday,20160403122116-165-00
PM,Sunday,20160403122320-166-01
PM,Sunday,20160403122346-167-01
PM,Sunday,20160403122454-168-00
PM,Sunday,20160403122621-170-01
PM,Sunday,20160403122708-171-00
PM,Sunday,20160403122733-172-01
PM,Sunday,20160403122828-173-00
PM,Sunday,20160403123031-174-01
PM,Sunday,20160403123117-175-00
PM,Sunday,20160403123400-176-01
PM,Sunday,20160403123833-177-01
PM,Sunday,20160403123848-178-00
PM,Sunday,20160403123934-179-01
PM,Sunday,20160403124049-180-01
PM,Sunday,20160403124127-181-00
PM,Sunday,20160403124220-182-00
PM,Sunday,20160403124309-183-00
PM,Sunday,20160403124347-184-01
PM,Sunday,20160403124445-185-00
PM,Sunday,20160403124527-186-00
PM,Sunday,20160403124701-187-00
PM,Sunday,20160403124816-188-01
PM,Sunday,20160403124909-189-01
PM,Sunday,20160403125057-190-01
PM,Sunday,20160403125326-191-01
PM,Sunday,20160403125513-192-01
PM,Sunday,20160403125542-193-01
PM,Sunday,20160403125948-194-00
PM,Sunday,20160403130338-195-00
PM,Sunday,20160403130422-196-00
PM,Sunday,20160403130501-197-00
PM,Sunday,20160403130521-198-00
PM,Sunday,20160403130621-199-00
PM,Sunday,20160403130706-200-01
PM,Sunday,20160403130759-201-01
PM,Sunday,20160403131359-202-01
PM,Sunday,20160403131746-203-01
PM,Sunday,20160403132200-204-01
PM,Sunday,20160403132331-205-01
PM,Sunday,20160403132400-206-00
PM,Sunday,20160403133131-207-00
PM,Sunday,20160403133240-208-01
PM,Sunday,20160403133314-209-01
PM,Sunday,20160403133425-210-01
PM,Sunday,20160403134509-211-00
PM,Sunday,20160403134817-212-00
PM,Sunday,20160403134920-213-01
PM,Sunday,20160403135539-214-01
PM,Sunday,20160403135642-215-01
PM,Sunday,20160403135733-216-00
PM,Sunday,20160403135817-217-01
PM,Sunday,20160403135900-218-01
PM,Sunday,20160403135921-219-00
PM,Sunday,20160403135949-220-01
PM,Sunday,20160403140123-221-01
PM,Sunday,20160403140149-222-01
PM,Sunday,20160403140242-223-00
PM,Sunday,20160403140320-224-01
PM,Sunday,20160403140435-225-00
PM,Sunday,20160403140551-226-00
PM,Sunday,20160403140746-227-00
PM,Sunday,20160403140842-228-01
PM,Sunday,20160403141259-229-01
PM,Sunday,20160403141429-230-01
PM,Sunday,20160403141450-231-01
PM,Sunday,20160403141518-232-00
PM,Sunday,20160403141539-233-00
PM,Sunday,20160403142336-234-00
PM,Sunday,20160403142421-235-00
PM,Sunday,20160403142443-236-01
PM,Sunday,20160403142505-237-01
PM,Sunday,20160403142612-238-01
PM,Sunday,20160403142747-239-01
PM,Sunday,20160403142858-240-00
PM,Sunday,20160403142924-241-00
PM,Sunday,20160403143003-242-00
PM,Sunday,20160403143315-243-00
PM,Sunday,20160403143412-244-01
PM,Sunday,20160403143518-245-00
PM,Sunday,20160403144201-246-00
PM,Sunday,20160403144230-247-01
PM,Sunday,20160403144314-248-01
PM,Sunday,20160403144347-249-01
PM,Sunday,20160403144420-250-01
PM,Sunday,20160403144437-251-01
PM,Sunday,20160403144558-252-01
PM,Sunday,20160403144717-253-00
PM,Sunday,20160403144807-254-01
PM,Sunday,20160403144922-255-01
PM,Sunday,20160403144956-256-00
PM,Sunday,20160403145012-257-00
PM,Sunday,20160403145444-258-01
PM,Sunday,20160403145900-259-00
PM,Sunday,20160403145939-260-00
