classifier,score,year,month,day,hour,minute,second,seqno
Stove,0.937129,2016,04,06,09,32,42,520-00
Stove,0.960071,2016,04,06,09,33,24,521-01
Stove,0.945522,2016,04,06,09,34,10,522-01
Stove,0.960404,2016,04,06,09,35,36,523-00
Stove,0.961369,2016,04,06,09,36,01,524-00
Stove,0.959021,2016,04,06,09,38,15,525-01
Stove,0.951833,2016,04,06,09,38,34,526-00
Stove,0.960166,2016,04,06,09,39,22,527-01
Stove,0.961318,2016,04,06,09,40,03,528-00
Stove,0.958931,2016,04,06,09,40,43,529-01
Stove,0.95791,2016,04,06,09,46,23,530-01
Stove,0.948234,2016,04,06,09,52,22,533-00
Stove,0.947385,2016,04,06,09,52,56,534-00
Stove,0.94964,2016,04,06,09,53,52,535-01
Stove,0.958046,2016,04,06,09,54,21,536-00
Stove,0.9505,2016,04,06,09,55,22,538-01
Stove,0.94205,2016,04,06,09,57,13,539-00
Stove,0.959111,2016,04,06,10,23,42,540-00
Stove,0.953366,2016,04,06,10,24,42,542-00
Stove,0.953543,2016,04,06,10,26,35,543-01
Stove,0.94489,2016,04,06,11,19,43,544-01
Stove,0.953861,2016,04,06,11,31,23,546-00
Stove,0.952802,2016,04,06,11,43,58,547-01
Stove,0.94984,2016,04,06,11,44,22,548-00
Stove,0.946753,2016,04,06,12,14,42,551-01
Stove,0.961595,2016,04,06,12,19,17,553-00
Stove,0.948781,2016,04,06,12,20,58,554-00
Stove,0.953174,2016,04,06,12,21,46,555-00
Stove,0.945579,2016,04,06,12,22,45,556-00
Stove,0.960986,2016,04,06,12,23,11,557-00
Stove,0.962851,2016,04,06,12,24,37,558-01
Stove,0.95514,2016,04,06,12,40,08,559-00
Stove,0.956954,2016,04,06,12,41,22,560-01
Stove,0.961182,2016,04,06,12,43,30,561-00
Stove,0.964922,2016,04,06,12,43,57,562-01
Stove,0.94815,2016,04,06,12,44,41,563-00
Stove,0.965264,2016,04,06,12,45,49,564-00
Stove,0.966258,2016,04,06,12,46,36,565-00
Stove,0.964956,2016,04,06,12,47,55,566-01
Stove,0.960223,2016,04,06,12,50,54,567-01
Stove,0.96395,2016,04,06,13,04,17,568-00
Stove,0.964439,2016,04,06,13,11,17,569-01
Stove,0.961974,2016,04,06,13,12,20,570-00
Stove,0.964278,2016,04,06,13,20,56,573-01
Stove,0.954731,2016,04,06,13,25,46,574-01
Stove,0.947048,2016,04,06,13,26,58,575-01
Stove,0.952095,2016,04,06,13,27,29,576-01
Stove,0.956026,2016,04,06,13,28,35,578-01
Stove,0.958044,2016,04,06,13,29,27,579-00
Stove,0.940922,2016,04,06,13,29,44,580-01
Stove,0.961726,2016,04,06,13,30,16,581-01
Stove,0.949223,2016,04,06,13,30,42,582-00
Stove,0.958471,2016,04,06,13,33,17,583-01
Stove,0.962779,2016,04,06,13,36,41,584-01
Stove,0.957889,2016,04,06,14,01,52,586-00
Stove,0.950483,2016,04,06,14,03,10,587-00
Stove,0.959737,2016,04,06,14,04,48,588-00
Stove,0.948394,2016,04,06,14,06,28,589-01
Stove,0.940992,2016,04,06,14,17,34,590-01
Stove,0.941921,2016,04,06,14,28,45,592-00
Stove,0.940349,2016,04,06,14,29,34,593-00
Stove,0.946371,2016,04,06,14,45,01,594-00
Stove,0.926312,2016,04,06,15,55,01,596-00
Stove,0.905744,2016,04,06,16,03,52,597-00
Stove,0.935795,2016,04,06,16,04,59,599-01
Stove,0.929339,2016,04,06,16,07,27,600-01
Stove,0.938865,2016,04,06,16,09,07,601-01
Stove,0.947069,2016,04,06,16,10,49,602-01
Stove,0.943126,2016,04,06,16,11,48,603-00
Stove,0.927312,2016,04,06,16,14,13,605-01
Stove,0.921351,2016,04,06,16,14,37,606-00
Stove,0.933906,2016,04,06,16,15,26,607-01
Stove,0.93021,2016,04,06,16,16,08,608-01
Stove,0.948998,2016,04,06,16,17,24,611-00
Stove,0.950931,2016,04,06,16,19,36,613-01
Stove,0.940601,2016,04,06,16,20,12,614-00
Stove,0.95115,2016,04,06,16,23,16,616-00
Stove,0.942008,2016,04,06,16,26,06,617-00
Stove,0.949209,2016,04,06,16,27,54,618-00
Stove,0.954144,2016,04,06,16,46,18,621-00
Stove,0.950818,2016,04,06,16,50,31,625-00
Stove,0.958981,2016,04,06,16,51,46,626-00
Stove,0.962176,2016,04,06,16,53,59,627-01
Stove,0.941248,2016,04,06,17,03,32,628-00
Stove,0.943551,2016,04,06,17,04,32,629-01
Stove,0.948862,2016,04,06,17,06,15,632-00
Stove,0.937394,2016,04,06,17,07,10,633-01
Stove,0.947093,2016,04,06,17,07,47,634-00
Stove,0.953053,2016,04,06,17,13,37,637-00
Stove,0.961526,2016,04,06,17,14,42,639-01
Stove,0.95038,2016,04,06,17,17,56,644-01
Stove,0.95045,2016,04,06,17,18,49,645-01
Stove,0.95025,2016,04,06,17,20,14,646-00
Stove,0.961998,2016,04,06,17,20,44,647-00
Stove,0.959314,2016,04,06,17,21,56,648-00
Stove,0.95978,2016,04,06,17,22,52,649-01
Stove,0.954995,2016,04,06,17,23,56,650-00
Stove,0.958772,2016,04,06,17,24,23,651-00
Stove,0.959,2016,04,06,17,25,01,652-01
Stove,0.956007,2016,04,06,17,25,30,653-01
Stove,0.95167,2016,04,06,17,26,53,654-01
Stove,0.965084,2016,04,06,17,28,09,655-00
Stove,0.960594,2016,04,06,17,28,38,656-00
Stove,0.955407,2016,04,06,17,35,25,661-00
Stove,0.958833,2016,04,06,17,45,17,668-01
Stove,0.966434,2016,04,06,18,01,45,672-00
Stove,0.958613,2016,04,06,18,08,48,676-01
Stove,0.956006,2016,04,06,18,21,33,677-00
Stove,0.962502,2016,04,06,18,23,02,678-00
Stove,0.961437,2016,04,06,18,49,04,681-00
Stove,0.961498,2016,04,06,18,51,16,682-01
Stove,0.957622,2016,04,06,18,57,39,684-01
Stove,0.966711,2016,04,06,19,02,16,689-01
Stove,0.97209,2016,04,06,19,02,52,690-01
Stove,0.969717,2016,04,06,19,03,29,691-01
Stove,0.878756,2016,04,06,20,43,53,09-01
Stove,0.875991,2016,04,06,20,56,16,15-00
Stove,0.865463,2016,04,06,21,10,48,23-00
Stove,0.903515,2016,04,06,21,14,54,25-01
Stove,0.893647,2016,04,06,21,15,34,26-00
Stove,0.838477,2016,04,06,22,54,01,34-01
Stove,0.731022,2016,04,07,00,36,44,42-01
Stove,0.879307,2016,04,07,00,40,01,44-00
Stove,0.829771,2016,04,07,00,42,31,46-00
Stove,0.804735,2016,04,07,00,57,37,51-00
