classifier,score,id,doc/year,doc/month,doc/day,doc/hour,doc/minute,doc/second
Graduation,0.669965,20160405141902-241-00,2016,4,5,14,19,2
Graduation,0.664111,20160406180426-674-01,2016,4,6,18,4,26
Graduation,0.637346,20160405215143-383-01,2016,4,5,21,51,43
Graduation,0.715386,20160407214214-402-00,2016,4,7,21,42,14
Graduation,0.734359,20160407200827-379-00,2016,4,7,20,8,27
Graduation,0.640143,20160411085532-409-00,2016,4,11,8,55,32
Graduation,0.630571,20160416124210-1565-01,2016,4,16,12,42,10
Graduation,0.66834,20160416125959-1573-01,2016,4,16,12,59,59
Graduation,0.62878,20160416142149-1621-00,2016,4,16,14,21,49
Graduation,0.609578,20160416213521-1845-00,2016,4,16,21,35,21
Graduation,0.58741,20160416142726-1623-00,2016,4,16,14,27,26
Graduation,0.612711,20160416173747-1727-01,2016,4,16,17,37,47
Graduation,0.710381,20160417120809-1997-01,2016,4,17,12,8,9
Graduation,0.73435,20160416161548-1684-01,2016,4,16,16,15,48
Graduation,0.812428,20160418115037-2352-01,2016,4,18,11,50,37
Graduation,0.774621,20160418151409-2366-01,2016,4,18,15,14,9
Graduation,0.759803,20160418071102-2287-01,2016,4,18,7,11,2
Graduation,0.789477,20160417093243-1928-00,2016,4,17,9,32,43
Graduation,0.629808,20160417100759-1945-00,2016,4,17,10,7,59
Graduation,0.752185,20160421072216-3152-00,2016,4,21,7,22,16
Graduation,0.722781,20160421161934-3275-00,2016,4,21,16,19,34
Graduation,0.701929,20160421181337-3327-00,2016,4,21,18,13,37
Graduation,0.743209,20160419212942-2769-01,2016,4,19,21,29,42
Graduation,0.661986,20160420224215-3115-01,2016,4,20,22,42,15
Graduation,0.706522,20160421172130-3300-01,2016,4,21,17,21,30
Graduation,0.602321,20160422163707-3640-00,2016,4,22,16,37,7
Graduation,0.703111,20160423122544-3908-00,2016,4,23,12,25,44
Graduation,0.78379,20160422180718-3707-01,2016,4,22,18,7,18
Graduation,0.782378,20160425155436-42-00,2016,4,25,15,54,36
Graduation,0.693988,20160423174758-4063-00,2016,4,23,17,47,58
Graduation,0.652465,20160423125958-3928-01,2016,4,23,12,59,58
