interval,ampm,week,day,id
48,PM,21,Wednesday,20160525121417-35-00
24,AM,21,Thursday,20160526060106-104-00
28,AM,21,Thursday,20160526070311-134-00
30,AM,21,Thursday,20160526074412-149-00
49,PM,21,Wednesday,20160525122238-42-00
27,AM,21,Thursday,20160526064941-116-01
77,PM,21,Wednesday,20160525192855-87-01
33,AM,21,Thursday,20160526081749-166-00
32,AM,21,Thursday,20160526080519-155-00
32,AM,21,Thursday,20160526080757-159-01
34,AM,21,Thursday,20160526084447-174-00
50,PM,21,Wednesday,20160525123816-48-00
27,AM,21,Thursday,20160526065532-126-00
27,AM,21,Thursday,20160526065210-120-00
32,AM,21,Thursday,20160526081122-162-01
77,PM,21,Wednesday,20160525192919-88-01
36,AM,21,Thursday,20160526090302-175-01
30,AM,21,Thursday,20160526073010-147-00
32,AM,21,Thursday,20160526081254-164-01
27,AM,21,Thursday,20160526065331-123-00
50,PM,21,Wednesday,20160525123928-49-01
37,AM,21,Thursday,20160526091604-179-00
91,PM,21,Wednesday,20160525225104-102-01
27,AM,21,Thursday,20160526065741-128-00
34,AM,21,Thursday,20160526083906-173-01
37,AM,21,Thursday,20160526092841-181-00
37,AM,21,Thursday,20160526092725-180-01
29,AM,21,Thursday,20160526072512-144-00
32,AM,21,Thursday,20160526080546-156-00
27,AM,21,Thursday,20160526065116-118-01
28,AM,21,Thursday,20160526070654-138-01
38,AM,21,Thursday,20160526093023-184-01
39,AM,21,Thursday,20160526094921-188-00
34,AM,21,Thursday,20160526083852-172-00
50,PM,21,Wednesday,20160525123956-50-01
48,PM,21,Thursday,20160526120346-194-00
33,AM,21,Thursday,20160526082010-167-00
41,AM,21,Thursday,20160526101827-189-01
31,AM,21,Thursday,20160526075953-150-00
63,PM,21,Thursday,20160526155352-209-01
38,AM,21,Thursday,20160526094020-185-01
36,AM,21,Thursday,20160526091404-177-01
32,AM,21,Thursday,20160526080240-153-01
27,AM,21,Thursday,20160526065659-127-00
60,PM,21,Thursday,20160526150632-200-01
79,PM,21,Wednesday,20160525194524-90-00
43,AM,21,Thursday,20160526105843-193-00
32,AM,21,Thursday,20160526080817-160-01
83,PM,21,Wednesday,20160525205000-93-00
37,AM,21,Thursday,20160526091527-178-01
63,PM,21,Thursday,20160526155738-211-01
62,PM,21,Thursday,20160526154449-205-00
39,AM,21,Thursday,20160526094801-186-01
63,PM,21,Thursday,20160526155522-210-00
