ALCHEMY_SCORE,ALCHEMY_TEXT,DAY,HOUR,IMAGEBOX,MINUTE,MONTH,SECOND,VISUAL_IMAGE,YEAR,_ID,_REV
0.401312,person,03,09,18x120+224+114,13,04,10,20160403091310-94-00.jpg,2016,20160403091310-94-00,1-8104472970f38088e3c717c5150d6cdd
0.930862,person,03,09,550x478+46+0,15,04,10,20160403091510-95-01.jpg,2016,20160403091510-95-01,1-d277d96a27c701545ffbcaa4b920e904
0.998167,person,03,09,470x466+92+0,16,04,44,20160403091644-96-00.jpg,2016,20160403091644-96-00,1-9df9e46b816b089720defa52d60fa63b
0.377541,person,03,09,36x80+150+340,17,04,43,20160403091743-97-01.jpg,2016,20160403091743-97-01,1-d959c287f0efa46f1ff2f579054f0d04
0.354344,person,03,09,74x58+156+360,18,04,17,20160403091817-98-00.jpg,2016,20160403091817-98-00,1-30539132b920a714b69e805ad2d9f6f7
,NO_TAGS,03,09,26x94+224+140,18,04,45,20160403091845-99-01.jpg,2016,20160403091845-99-01,1-56c9fbea135b32058175d0de666f204e
0.401312,person,03,09,26x104+224+136,19,04,41,20160403091941-100-00.jpg,2016,20160403091941-100-00,1-ce9787cb4e430e3ad96e678406e78d90
0.331812,person,03,09,408x214+124+160,21,04,22,20160403092122-101-01.jpg,2016,20160403092122-101-01,1-c830ab9cf42e1bf57a411e8d5bba69b0
0.377541,person,03,09,34x48+396+306,21,04,59,20160403092159-102-00.jpg,2016,20160403092159-102-00,1-3742ddeac72f97cb650c8a8c83644920
0.401312,person,03,09,34x78+404+186,23,04,23,20160403092323-103-00.jpg,2016,20160403092323-103-00,1-0a1d2e9abbd2c95e95ad3de01ef5532b
0.377541,person,03,09,54x50+400+306,24,04,11,20160403092411-104-01.jpg,2016,20160403092411-104-01,1-04858df4399810bc3e7848f36f5ebb16
0.331812,person,03,09,52x34+396+306,24,04,57,20160403092457-105-00.jpg,2016,20160403092457-105-00,1-36f44299960cab880cb7de0800f6a61e
,NO_TAGS,03,09,378x284+134+98,31,04,35,20160403093135-106-01.jpg,2016,20160403093135-106-01,1-b976df281ddcfc6c508a643310706a31
,NO_TAGS,03,09,66x68+112+328,31,04,57,20160403093157-107-01.jpg,2016,20160403093157-107-01,1-278e355fba08479cb0ed2a1320621e39
,NO_TAGS,03,09,46x100+142+306,32,04,24,20160403093224-108-00.jpg,2016,20160403093224-108-00,1-766e47cefd5ab8b835c66b33a74d14ae
,NO_TAGS,03,09,22x84+428+174,32,04,52,20160403093252-109-01.jpg,2016,20160403093252-109-01,1-6dfb0bb62e6b8bb79ebb2dfe85cadf21
0.574443,person,03,09,60x478+350+0,33,04,41,20160403093341-110-01.jpg,2016,20160403093341-110-01,1-3ceaa02e797b60dba75bfd4d171ebfe7
0.524979,person,03,09,638x478+-9+0,34,04,23,20160403093423-111-00.jpg,2016,20160403093423-111-00,1-f075aa2832ffbbd020f04499822c67c1
0.310026,person,03,09,634x446+15+0,36,04,15,20160403093615-112-00.jpg,2016,20160403093615-112-00,1-db39ff7f74f0770ef47eb1a7dca0a2be
,NO_TAGS,03,09,48x64+202+212,37,04,09,20160403093709-113-01.jpg,2016,20160403093709-113-01,1-f3c7a2fae0028166790dda1ebe826569
0.998887,person,03,09,472x468+100+0,49,04,25,20160403094925-114-01.jpg,2016,20160403094925-114-01,1-553c438215f178a402d2084e9264f4eb
0.475021,person,03,09,30x194+404+162,50,04,47,20160403095047-115-00.jpg,2016,20160403095047-115-00,1-01b4b6c834f8bb9ba6b9528f78e327a8
0.5,person,03,09,142x68+398+400,54,04,46,20160403095446-116-01.jpg,2016,20160403095446-116-01,1-70271af40abbc4d7a28411a3d0f9796c
0.549834,person,03,09,208x334+218+144,55,04,43,20160403095543-117-01.jpg,2016,20160403095543-117-01,1-6431bcf5e54665b3980a080de558f637
0.5,person,03,09,64x160+394+218,57,04,11,20160403095711-118-00.jpg,2016,20160403095711-118-00,1-0f12b408d2f40aab918a89c7b0079564
0.645656,person,03,10,392x168+134+176,06,04,42,20160403100642-119-01.jpg,2016,20160403100642-119-01,1-a378d0cc26eb36741bb0a547305cbd79
