interval,day,classifier,score
29,Wednesday,person,0.401312
29,Wednesday,person,0.598688
29,Wednesday,person,0.99593
29,Wednesday,person,0.622459
29,Wednesday,person,0.331812
29,Wednesday,person,0.28905
29,Wednesday,person,0.996982
30,Wednesday,person,0.475021
30,Wednesday,person,0.331812
30,Wednesday,person,0.598688
30,Wednesday,person,0.689974
30,Wednesday,person,0.5
30,Wednesday,person,0.354344
31,Wednesday,person,0.524979
31,Wednesday,person,0.331812
31,Wednesday,person,0.377541
31,Wednesday,person,0.549834
32,Wednesday,person,0.268941
32,Wednesday,person,0.268941
33,Wednesday,person,0.75026
34,Wednesday,person,0.377541
34,Wednesday,person,0.28905
34,Wednesday,person,0.268941
34,Wednesday,person,0.268941
34,Wednesday,person,0.331812
35,Wednesday,person,0.475021
35,Wednesday,person,0.310026
35,Wednesday,person,0.598688
35,Wednesday,person,0.450166
35,Wednesday,person,0.549834
36,Wednesday,person,0.832018
36,Wednesday,person,0.942676
36,Wednesday,person,0.880797
36,Wednesday,person,0.978119
36,Wednesday,person,0.832018
36,Wednesday,person,0.9995
36,Wednesday,person,0.28905
36,Wednesday,person,0.978119
36,Wednesday,person,0.668188
36,Wednesday,person,0.622459
37,Wednesday,person,0.908877
37,Wednesday,person,0.645656
37,Wednesday,person,0.802184
37,Wednesday,person,0.598688
37,Wednesday,person,0.310026
37,Wednesday,person,0.549834
37,Wednesday,person,0.960834
37,Wednesday,person,0.970688
37,Wednesday,person,0.731059
37,Wednesday,person,0.924142
37,Wednesday,person,0.937027
37,Wednesday,person,0.710949
37,Wednesday,person,0.916827
37,Wednesday,person,0.689974
37,Wednesday,person,0.622459
37,Wednesday,person,0.377541
38,Wednesday,person,0.997527
38,Wednesday,person,0.425557
38,Wednesday,person,0.956893
39,Wednesday,person,0.354344
39,Wednesday,person,0.450166
41,Wednesday,person,0.425557
41,Wednesday,person,0.268941
53,Wednesday,person,0.28905
53,Wednesday,person,0.268941
53,Wednesday,person,0.310026
56,Wednesday,person,0.982014
56,Wednesday,person,0.785835
56,Wednesday,person,0.942676
56,Wednesday,person,0.5
57,Wednesday,person,0.268941
57,Wednesday,person,0.645656
57,Wednesday,person,0.908877
57,Wednesday,person,0.354344
62,Wednesday,person,0.999389
63,Wednesday,person,0.331812
64,Wednesday,person,0.710949
64,Wednesday,person,0.549834
64,Wednesday,person,0.28905
64,Wednesday,person,0.401312
64,Wednesday,person,0.28905
64,Wednesday,person,0.28905
64,Wednesday,person,0.450166
64,Wednesday,person,0.999325
64,Wednesday,person,0.845535
64,Wednesday,person,0.890903
65,Wednesday,person,0.845535
65,Wednesday,person,0.574443
65,Wednesday,person,0.549834
65,Wednesday,person,0.785835
65,Wednesday,person,0.450166
65,Wednesday,person,0.998167
65,Wednesday,person,0.869892
65,Wednesday,person,0.970688
65,Wednesday,person,0.768525
65,Wednesday,person,0.960834
65,Wednesday,person,0.28905
65,Wednesday,person,0.331812
65,Wednesday,person,0.967705
66,Wednesday,person,0.268941
67,Wednesday,person,0.28905
