classifier,score,id,doc/year,doc/month,doc/day,doc/hour,doc/minute,doc/second
person,0.524979,20160403090604-90-00,2016,04,03,09,06,04
person,0.310026,20160403093615-112-00,2016,04,03,09,36,15
person,0.998167,20160403091644-96-00,2016,04,03,09,16,44
person,0.731059,20160403103522-132-01,2016,04,03,10,35,22
person,0.858149,20160403104529-147-00,2016,04,03,10,45,29
person,0.331812,20160403092457-105-00,2016,04,03,09,24,57
person,0.401312,20160403091310-94-00,2016,04,03,09,13,10
person,0.549834,20160403095543-117-01,2016,04,03,09,55,43
person,0.354344,20160403123117-175-00,2016,04,03,12,31,17
person,0.960834,20160403104141-139-01,2016,04,03,10,41,41
person,0.310026,20160403100715-120-00,2016,04,03,10,07,15
person,0.524979,20160403085621-81-00,2016,04,03,08,56,21
person,0.354344,20160403091817-98-00,2016,04,03,09,18,17
person,0.377541,20160403124127-181-00,2016,04,03,12,41,27
person,0.956893,20160403104218-140-00,2016,04,03,10,42,18
person,0.991837,20160403124816-188-01,2016,04,03,12,48,16
person,0.995033,20160403105033-151-01,2016,04,03,10,50,33
person,0.785835,20160403090322-87-01,2016,04,03,09,03,22
person,0.377541,20160403091743-97-01,2016,04,03,09,17,43
person,0.475021,20160403095047-115-00,2016,04,03,09,50,47
person,0.869892,20160403104510-146-00,2016,04,03,10,45,10
person,0.785835,20160403085057-75-01,2016,04,03,08,50,57
person,0.598688,20160403091154-93-01,2016,04,03,09,11,54
person,0.916827,20160403104750-149-00,2016,04,03,10,47,50
person,0.731059,20160403100806-122-01,2016,04,03,10,08,06
person,0.549834,20160403085353-77-00,2016,04,03,08,53,53
person,0.817574,20160403123031-174-01,2016,04,03,12,30,31
person,0.930862,20160403091510-95-01,2016,04,03,09,15,10
person,0.622459,20160403125542-193-01,2016,04,03,12,55,42
person,0.916827,20160403122621-170-01,2016,04,03,12,26,21
person,0.5,20160403124701-187-00,2016,04,03,12,47,01
person,0.401312,20160403091941-100-00,2016,04,03,09,19,41
person,0.998887,20160403094925-114-01,2016,04,03,09,49,25
person,0.331812,20160403092122-101-01,2016,04,03,09,21,22
person,0.858149,20160403104257-141-00,2016,04,03,10,42,57
person,0.401312,20160403092323-103-00,2016,04,03,09,23,23
person,0.377541,20160403134817-212-00,2016,04,03,13,48,17
person,0.574443,20160403093341-110-01,2016,04,03,09,33,41
person,0.331812,20160403102208-127-00,2016,04,03,10,22,08
person,0.524979,20160403090119-85-00,2016,04,03,09,01,19
person,0.450166,20160403101759-126-01,2016,04,03,10,17,59
person,0.986613,20160403104421-143-00,2016,04,03,10,44,21
person,0.331812,20160403123400-176-01,2016,04,03,12,34,00
person,0.524979,20160403093423-111-00,2016,04,03,09,34,23
person,0.990987,20160403102636-128-01,2016,04,03,10,26,36
person,0.377541,20160403092411-104-01,2016,04,03,09,24,11
person,0.832018,20160403104454-145-00,2016,04,03,10,44,54
person,0.645656,20160403123833-177-01,2016,04,03,12,38,33
person,0.999629,20160403115058-153-00,2016,04,03,11,50,58
person,0.5,20160403095711-118-00,2016,04,03,09,57,11
person,0.970688,20160403103848-135-00,2016,04,03,10,38,48
person,0.960834,20160403103948-137-01,2016,04,03,10,39,48
person,0.645656,20160403100642-119-01,2016,04,03,10,06,42
person,0.802184,20160403103711-133-00,2016,04,03,10,37,11
person,0.995504,20160403104108-138-01,2016,04,03,10,41,08
person,0.997527,20160403104327-142-01,2016,04,03,10,43,27
person,0.268941,20160403142443-236-01,2016,04,03,14,24,43
person,0.916827,20160403123848-178-00,2016,04,03,12,38,48
person,0.890903,20160403104909-150-01,2016,04,03,10,49,09
person,0.997975,20160403104658-148-01,2016,04,03,10,46,58
person,0.999325,20160403103342-130-00,2016,04,03,10,33,42
person,0.401312,20160403122346-167-01,2016,04,03,12,23,46
person,0.331812,20160403115801-159-01,2016,04,03,11,58,01
person,0.908877,20160403105151-152-00,2016,04,03,10,51,51
person,0.999176,20160403144230-247-01,2016,04,03,14,42,30
person,0.802184,20160403103825-134-00,2016,04,03,10,38,25
